wrong_errortype,correct_errortype,wrong_sentence,correct_sentence
FD,W,"First of all, I think we should have a protagonist for it. A good idea to start will be | a clock alarm ringing close to his bed, because that's the way everyone gets up in the morning , (apart from the people who don't do anything). ","First of all, I think we should have a protagonist for it. A good idea to start will be | an alarm clock ringing close to his bed, because that's the way everyone gets up in the morning , (apart from the people who don't do anything). "
AGN,FN,| Computer have helped to improve health because in this century we can use them in medical operations. Doctors can manage the most extreme operation easily and confidently. ,| Computers have helped to improve health because in this century we can use them in medical operations. Doctors can manage the most extreme operation easily and confidently. 
RA,AGA,"I can only travel in July because | these is the month when I have holidays. I've already talked to my manager, and she said that that's the only month I can have my holidays. ","I can only travel in July because | this is the month when I have holidays. I've already talked to my manager, and she said that that's the only month I can have my holidays. "
DJ,FN,"I presume if the term becomes longer the festival will become better . Because , because it'll be easier to manage the | artist schedule and the audience can enjoy the live . ","I presume if the term becomes longer the festival will become better . Because , because it'll be easier to manage the | artists schedule and the audience can enjoy the live . "
AGN,FN,"Because I'm working in an accountant's office, I'm very busy. The only month I could go on | holidays is July, when we haven't got a lot to do. ","Because I'm working in an accountant's office, I'm very busy. The only month I could go on | holiday is July, when we haven't got a lot to do. "
UY,UC,"First of all, your article mentions that the course had to be cancelled , because the teacher was ill, but the course was cancelled only on the last afternoon. Secondly, you mention that nobody registered for the local history course. | So I would like to inform you that 32 attended this course. Thirdly, as far as the painting and photography courses are concerned, it is true what you say, they were very popular. I think that the reason for these courses being so popular is that people are very interested in these kinds of activities. Apart from this, the teachers were very experienced and the equipment was particularly contemporary . ","First of all, your article mentions that the course had to be cancelled , because the teacher was ill, but the course was cancelled only on the last afternoon. Secondly, you mention that nobody registered for the local history course. | I would like to inform you that 32 attended this course. Thirdly, as far as the painting and photography courses are concerned, it is true what you say, they were very popular. I think that the reason for these courses being so popular is that people are very interested in these kinds of activities. Apart from this, the teachers were very experienced and the equipment was particularly contemporary . "
IN,DN,"Some of the teachers are very good | profesionalists. Their lessons are valuable, rich in knowledge and funny. For example, the teacher of history and Polish language is able to interest students in the subject in different ways. ","Some of the teachers are very good | professionals. Their lessons are valuable, rich in knowledge and funny. For example, the teacher of history and Polish language is able to interest students in the subject in different ways. "
RP,RA,"Despite the fact that | it love shopping I have to agree that it is not ""always"" enjoyable. Sometimes you go out and you can't find something special or there are a lot of people there. It's annoying. ","Despite the fact that | I love shopping I have to agree that it is not ""always"" enjoyable. Sometimes you go out and you can't find something special or there are a lot of people there. It's annoying. "
IV,TV,The aim of this report is to give some information about the new Acapulco resort buildings which were | build 10 years ago. They are some of the first buildings that were | build with the latest technology and designed by an important Mexican architect. ,The aim of this report is to give some information about the new Acapulco resort buildings which were | built 10 years ago. They are some of the first buildings that were | built with the latest technology and designed by an important Mexican architect. 
FN,AGN,"We live in the age of personal computers, of the Internet, of the mobile | phones, and now for me it's impossible to think of a world without them. It's already four years since I bought my first cellular phone (since then I have changed it many times) and it is always very useful for me: everyone can speak with me wherever I am. When, for example, I go abroad I feel closer to my friends and to my family than before. ","We live in the age of personal computers, of the Internet, of the mobile | phone, and now for me it's impossible to think of a world without them. It's already four years since I bought my first cellular phone (since then I have changed it many times) and it is always very useful for me: everyone can speak with me wherever I am. When, for example, I go abroad I feel closer to my friends and to my family than before. "
UD,RP,Shopping is enjoyable when you want to give | some thing to someone. In fact you try to get a present to make the recipient happy. ,Shopping is enjoyable when you want to give | something to someone. In fact you try to get a present to make the recipient happy. 
MT,MC,"According to your letter, I have two options regarding accommodation, either in tents or log cabins. I would prefer a tent because I think that is something more exciting and new for me. I have never stayed in a tent in the middle of nowhere , in my life so I would prefer something more realistic and new. Log cabins may be more comfortable , on . On the other hand I think that I will be able to ""survive"" in a tent. Looking at your letter, I can see many options for activities and I realize that I like most of them. I think I would prefer Climbing and Painting. The reason for choosing these two activities is that they contrast | each other , . I want one that is more exciting and that asks for more agility and another that is calmer and relaxing, that asks only for my ability to paint. Climbing is something new for me and I am not so good at it, however, I hope that I can learn about it at the Camp. Painting is something that I love and I am very good at it. ","According to your letter, I have two options regarding accommodation, either in tents or log cabins. I would prefer a tent because I think that is something more exciting and new for me. I have never stayed in a tent in the middle of nowhere , in my life so I would prefer something more realistic and new. Log cabins may be more comfortable , on . On the other hand I think that I will be able to ""survive"" in a tent. Looking at your letter, I can see many options for activities and I realize that I like most of them. I think I would prefer Climbing and Painting. The reason for choosing these two activities is that they contrast | with each other , . I want one that is more exciting and that asks for more agility and another that is calmer and relaxing, that asks only for my ability to paint. Climbing is something new for me and I am not so good at it, however, I hope that I can learn about it at the Camp. Painting is something that I love and I am very good at it. "
FN,AGN,"Modern technology, such as | computer, cars and other things, have changed my life in many different ways such as communication, travelling and working. For example, a car, which is used by everyone every day, changed my daily life in the sense that I don't need my dad or my mum to go ice-skating or to go to work. I can do it by myself and for me it is important not only because of technology, but because I can show that I am responsible. With this car I can see the world, not exactly, but I can travel and visit other countries than Switzerland. ","Modern technology, such as | computers, cars and other things, have changed my life in many different ways such as communication, travelling and working. For example, a car, which is used by everyone every day, changed my daily life in the sense that I don't need my dad or my mum to go ice-skating or to go to work. I can do it by myself and for me it is important not only because of technology, but because I can show that I am responsible. With this car I can see the world, not exactly, but I can travel and visit other countries than Switzerland. "
UC,UY,"I had a very disappointing evening last Saturday. I had everything planned , ; my family and I were coming to watch your show and then have a decent meal at your theatre restaurant but it was disastrous. Firstly there was no discount available, though you promised one in your advertisement, so even my 6-year-old son was charged the adult price. Then everything was going well until the show didn't start! Supposedly it was to start at 19:30. Well it didn't , it . It started 45 minutes late, at exactly 20:15. And by the way may I ask you how up-to-date your leaflets are because in spite of the advert saying the starring actor was Danny Brook, | well it wasn't. It was another actor and one I had never heard of. That was a disappointment for my whole family , in fact . In fact all the audience were very disappointed. ","I had a very disappointing evening last Saturday. I had everything planned , ; my family and I were coming to watch your show and then have a decent meal at your theatre restaurant but it was disastrous. Firstly there was no discount available, though you promised one in your advertisement, so even my 6-year-old son was charged the adult price. Then everything was going well until the show didn't start! Supposedly it was to start at 19:30. Well it didn't , it . It started 45 minutes late, at exactly 20:15. And by the way may I ask you how up-to-date your leaflets are because in spite of the advert saying the starring actor was Danny Brook, | it wasn't. It was another actor and one I had never heard of. That was a disappointment for my whole family , in fact . In fact all the audience were very disappointed. "
FN,AGN,IT'S UNDENIABLE THAT DURING THIS CENTURY OUR WORLD HAS BEEN CHANGING. NEW INVENTIONS HAVE BEEN INVENTED AND SCIENCE HAS MADE QUICK PROGRESS. AS A RESULT OF THIS PEOPLE'S DAILY | LIFE HAVE BEEN CHANGING AS WELL. ,IT'S UNDENIABLE THAT DURING THIS CENTURY OUR WORLD HAS BEEN CHANGING. NEW INVENTIONS HAVE BEEN INVENTED AND SCIENCE HAS MADE QUICK PROGRESS. AS A RESULT OF THIS PEOPLE'S DAILY | LIVES HAVE BEEN CHANGING AS WELL. 
TV,FV,"Also it means meeting other people, having fun together, travelling to all the places on the island. I think that the summer makes people feel great, | to have fun, enjoy themselves. I believe that the summer is a season for everybody who wants to have a wonderful time and wonderful memories wherever they go. ","Also it means meeting other people, having fun together, travelling to all the places on the island. I think that the summer makes people feel great, | have fun, enjoy themselves. I believe that the summer is a season for everybody who wants to have a wonderful time and wonderful memories wherever they go. "
UP,DJ,"First of all, I have to say that the idea of such a festival is great. It gives an opportunity to get acquainted with the | cultures' variety of the whole world. However, at this festival there were artists from only six countries . Whereas , whereas the advertisement promised stars from around the world. ","First of all, I have to say that the idea of such a festival is great. It gives an opportunity to get acquainted with the | cultural variety of the whole world. However, at this festival there were artists from only six countries . Whereas , whereas the advertisement promised stars from around the world. "
MV,MJ,"I'm glad to receive your letter. I'm very happy to know that I have won the first prize. It will be great to spend two weeks at Camp California. First of all, I would like to say that the only month available for me to travel is July. I finish my classes on the 25th of June and August is | for going with my parents to France. This was scheduled 3 months ago. ","I'm glad to receive your letter. I'm very happy to know that I have won the first prize. It will be great to spend two weeks at Camp California. First of all, I would like to say that the only month available for me to travel is July. I finish my classes on the 25th of June and August is | reserved for going with my parents to France. This was scheduled 3 months ago. "
CN,FN,"For the afternoon free time on the last day . There , there are a wide variety of choices in the things that they can do. They can play tennis, do athletics, swim... and many other sports activities in our school, if they want to. Or they can also visit Epsom Town. There are shops which sell clothes, | foods, and books ... They can decide what they want to do , it's . It's entirely up to them. ","For the afternoon free time on the last day . There , there are a wide variety of choices in the things that they can do. They can play tennis, do athletics, swim... and many other sports activities in our school, if they want to. Or they can also visit Epsom Town. There are shops which sell clothes, | food, and books ... They can decide what they want to do , it's . It's entirely up to them. "
FN,AGN,How are you? I am sorry that I didn't write any | letter to you during the last month. I really wish you had been with me last month. Guess what I've done! I've been helping at a pop concert that was put on at my school. That's why I have had no time and wanted you to be there with me. I will tell you all about it! ,How are you? I am sorry that I didn't write any | letters to you during the last month. I really wish you had been with me last month. Guess what I've done! I've been helping at a pop concert that was put on at my school. That's why I have had no time and wanted you to be there with me. I will tell you all about it! 
MN,IN,"I want to complain about the ticket. In the advertisement it said that discounts were available, but when I asked a | staff in the theatre about the discount he didn't offer me one. After the show I went to the 'THEATRE RESTAURANT' to have dinner, but the restaurant was closed. It was because they closed earlier than usual. I think they should keep the times correctly . ","I want to complain about the ticket. In the advertisement it said that discounts were available, but when I asked a | member of staff in the theatre about the discount he didn't offer me one. After the show I went to the 'THEATRE RESTAURANT' to have dinner, but the restaurant was closed. It was because they closed earlier than usual. I think they should keep the times correctly . "
IN,AGN,"I cannot believe how they do this | things every day, even when I need something at home I always try to find something to use instead . Because nowadays wherever you go there is a big queue and I hate waiting. ","I cannot believe how they do this | thing every day, even when I need something at home I always try to find something to use instead . Because nowadays wherever you go there is a big queue and I hate waiting. "
FV,MV,"One of the reasons I went to see that particular show , was the starring actor, announced in the ad , | Danny Brook, but when the show actually started, after forty-five minutes' delay, I realized that Danny Brook was not in the play. The ad also mentioned discounts, but that wasn't true either. After the play, which turned out to be just as bad as I thought, I wanted to relax in the Theatre Restaurant, but it was closed, and for no reason! ","One of the reasons I went to see that particular show , was the starring actor, announced in the ad , | to be Danny Brook, but when the show actually started, after forty-five minutes' delay, I realized that Danny Brook was not in the play. The ad also mentioned discounts, but that wasn't true either. After the play, which turned out to be just as bad as I thought, I wanted to relax in the Theatre Restaurant, but it was closed, and for no reason! "
RA,DA,"How much effort and time it took about two decades ago to chop vegetables or prepare coffee or how hard it was to deal with fridges! But today the mixer or some more complicated kitchen-device will chop and mix anything for you from fruits to meat, and modern coffee machines can even make a cappuccino or whatever you want on their own. Those devices have made our life easier as old fridges had to be defrosted and new fridges use a different kind of cooling system and will tell you if | your have forgotten to close the door! The modern cooker will turn itself off if something goes wrong! Personally, my life became much faster and I have much more time for many other things during the day thanks to the devices modern technology offers us. ","How much effort and time it took about two decades ago to chop vegetables or prepare coffee or how hard it was to deal with fridges! But today the mixer or some more complicated kitchen-device will chop and mix anything for you from fruits to meat, and modern coffee machines can even make a cappuccino or whatever you want on their own. Those devices have made our life easier as old fridges had to be defrosted and new fridges use a different kind of cooling system and will tell you if | you have forgotten to close the door! The modern cooker will turn itself off if something goes wrong! Personally, my life became much faster and I have much more time for many other things during the day thanks to the devices modern technology offers us. "
AGN,FN,You wouldn't believe how hard it was. The stage was covered with all | sort of light and we made it look like a waterfall. ,You wouldn't believe how hard it was. The stage was covered with all | sorts of light and we made it look like a waterfall. 
MP,IN,"First, we should film some lessons because everybody knows (or remembers if they are | growns up) that this is the activity that takes up most of a student's time at school. ","First, we should film some lessons because everybody knows (or remembers if they are | grown-ups) that this is the activity that takes up most of a student's time at school. "
MD,MQ,"As I'm an art student at a particular College, I can only go to Camp California in July, because in that month I haven't got | classes, and I'm free to do whatever I want to. I'd like a log cabin for my accommodation, because it's safer and cleaner than a tent and I wouldn't share it with anyone. ","As I'm an art student at a particular College, I can only go to Camp California in July, because in that month I haven't got | any classes, and I'm free to do whatever I want to. I'd like a log cabin for my accommodation, because it's safer and cleaner than a tent and I wouldn't share it with anyone. "
RP,DY,"Yours | sincerelly, ","Yours | sincerely, "
RQ,RD,I would recommend to them | the buildings because: ,I would recommend to them | these buildings because: 
U,RQ,"I am writing in reply to your letter, which I received yesterday. Below is | a piece of information you will need for the next international student conference at Bournemouth College and some recommendations, which might be useful for the students. ","I am writing in reply to your letter, which I received yesterday. Below is | some information you will need for the next international student conference at Bournemouth College and some recommendations, which might be useful for the students. "
UN,UA,"Anyway, I joined the team which helps | anything at a pop concert last month, as you know. ","Anyway, I joined the team which helps | at a pop concert last month, as you know. "
AGN,FN,"I work in a bank and I work all day with computers. If we hadn't any , we would have to write all the transactions on | papers. ","I work in a bank and I work all day with computers. If we hadn't any , we would have to write all the transactions on | paper. "
AGD,RD,"I recently had a week's holiday in London, and, during my stay, I went to your theatre to see ""Over the Rainbow"" because I had seen an advertisement for this show and I was really interested in seeing it for many reasons, one of | this reasons is that I love the star, Danny Brook. And I would like you to know that I have had a very disappointing evening, due to the differences between the advertisement and the show that I saw. ","I recently had a week's holiday in London, and, during my stay, I went to your theatre to see ""Over the Rainbow"" because I had seen an advertisement for this show and I was really interested in seeing it for many reasons, one of | the reasons is that I love the star, Danny Brook. And I would like you to know that I have had a very disappointing evening, due to the differences between the advertisement and the show that I saw. "
MY,MC,Then I got irritable and I thought that the organization was very bad because nobody explained to us the reasons | the show was late starting. ,Then I got irritable and I thought that the organization was very bad because nobody explained to us the reasons | why the show was late starting. 
RD,RP,With your agreement we could change the programme. Maybe we could go shopping on Wednesday afternoon and on Tuesday we could go to | The Show. ,With your agreement we could change the programme. Maybe we could go shopping on Wednesday afternoon and on Tuesday we could go to | the show. 
RP,IJ,"We all think the programme is organised well , in particular . In particular we're so keen on the idea of going to the National Art Gallery, to see the work of the | bigest painters in the world. ","We all think the programme is organised well , in particular . In particular we're so keen on the idea of going to the National Art Gallery, to see the work of the | biggest painters in the world. "
DY,FY,"I went to see my favourite actor, Danny Brook, acting in the show, but he was not there. I was shocked. There was another man acting. The show started | late than I expected. It should run from 7,30 7.30 p.m., but it started at 8.15 p.m.! ","I went to see my favourite actor, Danny Brook, acting in the show, but he was not there. I was shocked. There was another man acting. The show started | later than I expected. It should run from 7,30 7.30 p.m., but it started at 8.15 p.m.! "
UT,UC,"I hope there will be no problem if I travel in July, as this is the only free period I have. In August, , I will start | with a new job and I will not be able to leave Rome for a long time. ","I hope there will be no problem if I travel in July, as this is the only free period I have. In August, , I will start | a new job and I will not be able to leave Rome for a long time. "
TV,FJ,"First of all, in my opinion, TV has a great educational function, and it also makes the world | small. You can just sit at home and you can know what is happening all over the world at that moment. I would rather watch the news on TV instead of reading a newspaper or listening to the radio because the news on TV is vivid . ","First of all, in my opinion, TV has a great educational function, and it also makes the world | smaller. You can just sit at home and you can know what is happening all over the world at that moment. I would rather watch the news on TV instead of reading a newspaper or listening to the radio because the news on TV is vivid . "
W,UY,Normally I enjoy really | much shopping. ,Normally I enjoy really | shopping. 
DD,MD,I hope I've answered all | you questions and I would be pleased if mine could also be answered. ,I hope I've answered all | your questions and I would be pleased if mine could also be answered. 
TV,FV,"Last week during my holiday in London, I found your advertisement in my newspaper. This looked very good to me , - one of my favourite actors, the time suited me and there was a discount available for the tickets. Everything was just perfect. But, suddenly the whole evening changed into something , we didn't | expected at all. ","Last week during my holiday in London, I found your advertisement in my newspaper. This looked very good to me , - one of my favourite actors, the time suited me and there was a discount available for the tickets. Everything was just perfect. But, suddenly the whole evening changed into something , we didn't | expect at all. "
AGN,FN,"One possible thing is to display what you can do best in a public place, and, then, ""sell"" it to the people. For example, you can do a folk dance, do Hamlet in the street, or even sing a nice song from your country with some of your friends. You must be aware, however, of the | difficulty with these kinds of things (bad weather, no attention from the people and so on). ","One possible thing is to display what you can do best in a public place, and, then, ""sell"" it to the people. For example, you can do a folk dance, do Hamlet in the street, or even sing a nice song from your country with some of your friends. You must be aware, however, of the | difficulties with these kinds of things (bad weather, no attention from the people and so on). "
U,UN,"I read in the newspaper that in the next few days some books of short stories are going to be read on the radio. A few days ago you told me that you have to read ""the old man and the sea"" by Hemingway for school; well, on Friday it is going to be read, on frequency 96.7, | this book. ","I read in the newspaper that in the next few days some books of short stories are going to be read on the radio. A few days ago you told me that you have to read ""the old man and the sea"" by Hemingway for school; well, on Friday it is going to be read, on frequency 96.7, | . "
MA,W,| Yours ,| Yours sincerely 
RP,RA,"So, one day I decided to rob the bank. For weeks, I had prepared my plan, trying not to forget | something important. Everything was ready and I was too. So I knew that the day after would be the right one. ","So, one day I decided to rob the bank. For weeks, I had prepared my plan, trying not to forget | anything important. Everything was ready and I was too. So I knew that the day after would be the right one. "
AGA,FA,"The London Fashion And Leisure Show is taking place in the Central Exhibition Hall in London and happens on Tuesday March 14 . From , from ten o'clock in the morning till seven o'clock in the evening. The reason that I suggest that we go is that it is a great opportunity because we can see the latest fashions, in leisure and sports wear as well as make-up and hairstyles. In addition to | these we will not have to pay anything since it is free for students. ","The London Fashion And Leisure Show is taking place in the Central Exhibition Hall in London and happens on Tuesday March 14 . From , from ten o'clock in the morning till seven o'clock in the evening. The reason that I suggest that we go is that it is a great opportunity because we can see the latest fashions, in leisure and sports wear as well as make-up and hairstyles. In addition to | this we will not have to pay anything since it is free for students. "
W,MY,"Please find enclosed my thoughts about the fashion of the future. First of all, I think we should consider the way people are dressing at present to see how it's going to be developed in the future. Everyone has his own style but it's obvious that many of us are wearing the same clothes as others. We all follow the new collection on the market. Today it's wearing short-trousers short trousers and yesterday it was wearing torn jeans. What we wear is also influenced by models, the media, or new collections, which come from Paris, London, or New York. These new clothes are often very expensive, which's | maybe not everyone can afford to buy himself the newest clothes on the market. In 100 years, it's possible that everyone will develop his own style using all the new materials like plastic, latex, everything possible, as a way to create their own clothes. ","Please find enclosed my thoughts about the fashion of the future. First of all, I think we should consider the way people are dressing at present to see how it's going to be developed in the future. Everyone has his own style but it's obvious that many of us are wearing the same clothes as others. We all follow the new collection on the market. Today it's wearing short-trousers short trousers and yesterday it was wearing torn jeans. What we wear is also influenced by models, the media, or new collections, which come from Paris, London, or New York. These new clothes are often very expensive, which's | why maybe not everyone can afford to buy himself the newest clothes on the market. In 100 years, it's possible that everyone will develop his own style using all the new materials like plastic, latex, everything possible, as a way to create their own clothes. "
AS,W,"Finally, I would like to ask you if I should take a lot of clothes with me, because I do not know | what is the weather like there. My last question is ; : how much money do I need? I hope , I have answered all your questions. ","Finally, I would like to ask you if I should take a lot of clothes with me, because I do not know | what the weather is like there. My last question is ; : how much money do I need? I hope , I have answered all your questions. "
RA,RP,"Finally, on the last day we have an afternoon free. It would be great if we could go for a walk around the city of York and visit the historic buildings. If you could think of any other ideas | It would be very kind of you. I will be pleased if my idea and all this information can help you. ","Finally, on the last day we have an afternoon free. It would be great if we could go for a walk around the city of York and visit the historic buildings. If you could think of any other ideas | it would be very kind of you. I will be pleased if my idea and all this information can help you. "
TV,X,"There are a lot of people who spend a lot of money because they like shopping. Sometimes, they have to buy something that they need but, frequently, they buy things only to spend money. This is a big problem because a lot of families | haven't money , to spend going shopping. ","There are a lot of people who spend a lot of money because they like shopping. Sometimes, they have to buy something that they need but, frequently, they buy things only to spend money. This is a big problem because a lot of families | don't have money , to spend going shopping. "
MD,MA,"""Unfortunately, Pat wasn't very good at keeping secrets."" I knew that but I would prefer to trust her so I told | everything about Lynne Harter, our new classmate at school. However, I have to admit that I told her my own opinion. Well, that was the beginning of my tragedy. So, I told Pat that Lynne was ugly, fat like a cow, and extremely aggressive. But I couldn't shut my mouth , . I continued: ""You can't believe it, Pat, she wears trousers like a man and green flowery blouses."" Of course, my friend and I were laughing for half an hour. Two days later, when Pat came back to my school, she met Mr Harter, our head teacher, she told him everything about Ann1. At precisely that moment I realized that I had forgotten to tell her that Ann was Mr Harter's niece. I know it's my fault. But, well, the unhappiness started with Pat and my revealed secrets. ","""Unfortunately, Pat wasn't very good at keeping secrets."" I knew that but I would prefer to trust her so I told | her everything about Lynne Harter, our new classmate at school. However, I have to admit that I told her my own opinion. Well, that was the beginning of my tragedy. So, I told Pat that Lynne was ugly, fat like a cow, and extremely aggressive. But I couldn't shut my mouth , . I continued: ""You can't believe it, Pat, she wears trousers like a man and green flowery blouses."" Of course, my friend and I were laughing for half an hour. Two days later, when Pat came back to my school, she met Mr Harter, our head teacher, she told him everything about Ann1. At precisely that moment I realized that I had forgotten to tell her that Ann was Mr Harter's niece. I know it's my fault. But, well, the unhappiness started with Pat and my revealed secrets. "
FN,AGN,I'm dealing with mobile communication - mobile phones and papers . I can see how different firms produce more &amp; more new mobile phones. They have more different functions and | form. ,I'm dealing with mobile communication - mobile phones and papers . I can see how different firms produce more &amp; more new mobile phones. They have more different functions and | forms. 
CQ,RP,"Even though I would like to travel, I am only available in July, because I am a high school student. Thus I have not got a long holiday. I just have one month . Personally, I would rather stay in log cabins than in tents. On account of the fact that staying in log cabins is much more interesting than staying in tents. As far as two activities are concerned, I would choose singing and photography. I used to win a number of competitions in singing. I can sing plenty of songs . , which include | english songs and the Japanese songs, and I have a part-time job singing at a restaurant. Although photography is not as good as singing, I am very interested in it. I have been studying photography since I was 15 years old. I got third prize in a competition last year and my level is professional now. Furthermore, I am going to enter a competition next year. ","Even though I would like to travel, I am only available in July, because I am a high school student. Thus I have not got a long holiday. I just have one month . Personally, I would rather stay in log cabins than in tents. On account of the fact that staying in log cabins is much more interesting than staying in tents. As far as two activities are concerned, I would choose singing and photography. I used to win a number of competitions in singing. I can sing plenty of songs . , which include | English songs and the Japanese songs, and I have a part-time job singing at a restaurant. Although photography is not as good as singing, I am very interested in it. I have been studying photography since I was 15 years old. I got third prize in a competition last year and my level is professional now. Furthermore, I am going to enter a competition next year. "
TV,IV,"Firstly, I would like to answer your questions. As I am doing my A-levels A-level exams at the moment and they continue until the 30th of June and my further studies start in August, I can only travel in July. I would prefer to stay in a tent. It will give me a feeling of adventure and I have always | prefered tents to log cabins. I enjoy basketball very much and I am quite good at it. I would like to play this game at your camp. I have never tried climbing, but I have always wanted to do it one day. Would it be possible to do this activity at your camp as a beginner? ","Firstly, I would like to answer your questions. As I am doing my A-levels A-level exams at the moment and they continue until the 30th of June and my further studies start in August, I can only travel in July. I would prefer to stay in a tent. It will give me a feeling of adventure and I have always | preferred tents to log cabins. I enjoy basketball very much and I am quite good at it. I would like to play this game at your camp. I have never tried climbing, but I have always wanted to do it one day. Would it be possible to do this activity at your camp as a beginner? "
FV,TV,First of all I would like to suggest that you | to come to our party and we would like you not to tell your husband anything because the party is a surprise. ,First of all I would like to suggest that you | come to our party and we would like you not to tell your husband anything because the party is a surprise. 
TV,MA,"Finally, it is in the heart of the city and everyone | would without doubt. ","Finally, it is in the heart of the city and everyone | it without doubt. "
TV,UV,"Fashion has made great progress since the early days. The variety of new fabrics, their colours and quality, make new fashion statements every day. And the clothes are getting smaller and smaller. In the early 90s it was in fashion for women to wear only skirts . Long , long ones actually, and for men to wear trousers. In the sixties, people wore clothes with flowers, big glasses, and jeans, and men | should have had long painted hair. Nowadays women wear really short skirts, short t-shirts, short tops, and cut their hair short just like men. Boys pierce their bodies just like girls do . and vice versa. If this continues, the two lives will turn the one to the other and soon men will wear skirts. Clothes will get smaller ( ; people will be wearing practically no clothes). People will wear extreme . Clothes clothes which will be really lanky . People will wear all those clothes that expensive designers design but no one wears . ","Fashion has made great progress since the early days. The variety of new fabrics, their colours and quality, make new fashion statements every day. And the clothes are getting smaller and smaller. In the early 90s it was in fashion for women to wear only skirts . Long , long ones actually, and for men to wear trousers. In the sixties, people wore clothes with flowers, big glasses, and jeans, and men | had long painted hair. Nowadays women wear really short skirts, short t-shirts, short tops, and cut their hair short just like men. Boys pierce their bodies just like girls do . and vice versa. If this continues, the two lives will turn the one to the other and soon men will wear skirts. Clothes will get smaller ( ; people will be wearing practically no clothes). People will wear extreme . Clothes clothes which will be really lanky . People will wear all those clothes that expensive designers design but no one wears . "
IV,TV,"However, we have seen an advertisement for the ""London Fashion and Leisure Show"", which will take place on Tuesday 14th March from 10.00 am to 19.00 pm during our trip to London and in which the following topics will be | showed : ","However, we have seen an advertisement for the ""London Fashion and Leisure Show"", which will take place on Tuesday 14th March from 10.00 am to 19.00 pm during our trip to London and in which the following topics will be | shown : "
