language,rule,category,subcategory,subsubcategory,error_count,file_count,tot_essays
French,DASH_RULE,Orthography,Punctuation,Punctuation,82,37,1100
German,DASH_RULE,Orthography,Punctuation,Punctuation,335,151,1100
Hindi,DASH_RULE,Orthography,Punctuation,Punctuation,89,54,1100
Italian,DASH_RULE,Orthography,Punctuation,Punctuation,66,29,1100
Japanese,DASH_RULE,Orthography,Punctuation,Punctuation,11,7,1100
Korean,DASH_RULE,Orthography,Punctuation,Punctuation,20,15,1100
Spanish,DASH_RULE,Orthography,Punctuation,Punctuation,58,23,1100
Telugu,DASH_RULE,Orthography,Punctuation,Punctuation,30,21,1100
Turkish,DASH_RULE,Orthography,Punctuation,Punctuation,33,22,1100
Arabic,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",4,4,1100
Chinese,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",11,9,1100
French,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",7,7,1100
German,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",5,5,1100
Hindi,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",4,4,1100
Italian,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",16,16,1100
Japanese,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",17,16,1100
Korean,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",16,16,1100
Spanish,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",7,6,1100
Telugu,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",4,3,1100
Turkish,THERE_RE_MANY,Grammar,agreement,"verbal agreement (there + be)",7,7,1100
Arabic,APOS_ARE,Orthography,Punctuation,Punctuation,1,1,1100
Chinese,APOS_ARE,Orthography,Punctuation,Punctuation,0,0,1100
French,APOS_ARE,Orthography,Punctuation,Punctuation,0,0,1100
German,APOS_ARE,Orthography,Punctuation,Punctuation,1,1,1100
Hindi,APOS_ARE,Orthography,Punctuation,Punctuation,1,1,1100
Italian,APOS_ARE,Orthography,Punctuation,Punctuation,0,0,1100
Japanese,APOS_ARE,Orthography,Punctuation,Punctuation,0,0,1100
Korean,APOS_ARE,Orthography,Punctuation,Punctuation,1,1,1100
Spanish,APOS_ARE,Orthography,Punctuation,Punctuation,1,1,1100
Telugu,APOS_ARE,Orthography,Punctuation,Punctuation,2,2,1100
Turkish,APOS_ARE,Orthography,Punctuation,Punctuation,0,0,1100
Arabic,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",613,394,1100
Chinese,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",373,276,1100
French,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",370,286,1100
German,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",427,299,1100
Hindi,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",469,312,1100
Italian,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",335,268,1100
Japanese,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",251,207,1100
Korean,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",315,243,1100
Spanish,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",489,339,1100
Telugu,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",522,336,1100
Turkish,CONFUSION_RULE,Orthography,"Possiple Typo","Possiple Typo",304,232,1100
Arabic,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,3826,588,1100
Chinese,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,2754,423,1100
French,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,1025,268,1100
German,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,167,89,1100
Hindi,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,3170,609,1100
Italian,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,783,263,1100
Japanese,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,987,275,1100
Korean,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,529,216,1100
Spanish,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,613,225,1100
Telugu,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,4953,829,1100
Turkish,COMMA_PARENTHESIS_WHITESPACE,Orthography,Typography,Typography,1442,346,1100
Arabic,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",424,232,1100
Chinese,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",32,19,1100
French,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",27,18,1100
German,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",74,45,1100
Hindi,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",333,219,1100
Italian,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",27,23,1100
Japanese,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",45,28,1100
Korean,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",18,14,1100
Spanish,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",264,133,1100
Telugu,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",414,260,1100
Turkish,EN_CONTRACTION_SPELLING,Orthography,"Possiple Typo","Possiple Typo",229,117,1100
Arabic,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,653,402,1100
Chinese,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,275,198,1100
French,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,401,288,1100
German,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,302,236,1100
Hindi,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,442,305,1100
Italian,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,456,317,1100
Japanese,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,341,244,1100
Korean,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,435,281,1100
Spanish,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,456,298,1100
Telugu,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,740,419,1100
Turkish,COMMA_COMPOUND_SENTENCE,Orthography,Punctuation,Punctuation,653,402,1100
Arabic,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",85,79,1100
Chinese,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",85,79,1100
French,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",54,50,1100
German,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",69,63,1100
Hindi,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",46,38,1100
Italian,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",134,118,1100
Japanese,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",77,68,1100
Korean,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",80,73,1100
Spanish,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",155,129,1100
Telugu,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",83,70,1100
Turkish,THIS_NNS,Grammar,agreement,"nominal agreement (this vs. these)",114,99,1100
Arabic,DT_DT,Grammar,"double article","double article",53,49,1100
Chinese,DT_DT,Grammar,"double article","double article",29,29,1100
French,DT_DT,Grammar,"double article","double article",20,20,1100
German,DT_DT,Grammar,"double article","double article",26,26,1100
Hindi,DT_DT,Grammar,"double article","double article",51,47,1100
Italian,DT_DT,Grammar,"double article","double article",34,34,1100
Japanese,DT_DT,Grammar,"double article","double article",22,21,1100
Korean,DT_DT,Grammar,"double article","double article",27,25,1100
Spanish,DT_DT,Grammar,"double article","double article",34,34,1100
Telugu,DT_DT,Grammar,"double article","double article",57,55,1100
Turkish,DT_DT,Grammar,"double article","double article",41,39,1100
Arabic,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",35,30,1100
Chinese,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",53,49,1100
French,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",19,19,1100
German,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",19,17,1100
Hindi,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",59,49,1100
Italian,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",20,17,1100
Japanese,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",38,34,1100
Korean,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",50,45,1100
Spanish,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",19,18,1100
Telugu,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",42,39,1100
Turkish,MOST_COMPARATIVE,Grammar,"adjectival inflection","wrong superlative inflection",48,43,1100
Arabic,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,2,2,1100
Chinese,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,2,2,1100
French,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,4,3,1100
German,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,3,2,1100
Hindi,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,5,5,1100
Italian,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,5,5,1100
Japanese,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,4,3,1100
Korean,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,11,9,1100
Spanish,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,11,9,1100
Telugu,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,9,7,1100
Turkish,APOSTROPHE_IN_DATES,Orthography,Typography,Typography,5,4,1100
Arabic,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",96,84,1100
Chinese,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",153,133,1100
French,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",92,81,1100
German,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",47,46,1100
Hindi,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",71,64,1100
Italian,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",95,88,1100
Japanese,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",69,63,1100
Korean,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",107,94,1100
Spanish,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",110,96,1100
Telugu,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",120,94,1100
Turkish,DID_BASEFORM,Grammar,"verbal inflection","base form w/ auxiliary",80,76,1100
Arabic,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",84,73,1100
Chinese,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",117,92,1100
French,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",77,69,1100
German,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",31,28,1100
Hindi,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",69,59,1100
Italian,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",111,94,1100
Japanese,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",137,110,1100
Korean,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",166,123,1100
Spanish,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",152,118,1100
Telugu,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",94,72,1100
Turkish,PEOPLE_VBZ,Grammar,agreement,"verbal agreement",119,94,1100
Arabic,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,18,16,1100
Chinese,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,5,5,1100
French,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,3,2,1100
German,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,5,4,1100
Hindi,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,8,5,1100
Italian,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,3,3,1100
Japanese,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,8,8,1100
Korean,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,7,5,1100
Spanish,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,0,0,1100
Telugu,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,7,7,1100
Turkish,AFFECT_EFFECT,"Commonly Confused Words",NULL,NULL,13,12,1100
Arabic,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",21,20,1100
Chinese,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",25,24,1100
French,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",7,7,1100
German,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",12,12,1100
Hindi,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",9,9,1100
Italian,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",18,17,1100
Japanese,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",33,33,1100
Korean,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",21,20,1100
Spanish,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",24,18,1100
Telugu,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",8,8,1100
Turkish,ALL_OF_THE,Style,"Redundant Phrases","Redundant Phrases",34,31,1100
Arabic,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",164,133,1100
Chinese,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",149,123,1100
French,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",99,89,1100
German,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",259,215,1100
Hindi,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",275,207,1100
Italian,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",123,109,1100
Japanese,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",149,120,1100
Korean,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",198,158,1100
Spanish,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",165,143,1100
Telugu,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",406,300,1100
Turkish,SENTENCE_FRAGMENT,Grammar,"missing subordinated clause","missing subordinated clause",384,271,1100
Arabic,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",24,24,1100
Chinese,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",22,21,1100
French,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",20,20,1100
German,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",6,6,1100
Hindi,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",12,11,1100
Italian,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",12,12,1100
Japanese,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",42,37,1100
Korean,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",42,38,1100
Spanish,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",30,26,1100
Telugu,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",27,23,1100
Turkish,RELATIVE_CLAUSE_AGREEMENT,Grammar,agreement,"verbal agreement",42,37,1100
Arabic,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",42,32,1100
Chinese,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",31,28,1100
French,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",59,54,1100
German,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",58,49,1100
Hindi,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",19,18,1100
Italian,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",33,28,1100
Japanese,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",22,16,1100
Korean,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",41,34,1100
Spanish,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",50,43,1100
Telugu,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",27,25,1100
Turkish,FEWER_LESS,Grammar,"semantic restriction","count vs. non-count",38,30,1100
Arabic,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",2,2,1100
Chinese,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",6,5,1100
French,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",1,1,1100
German,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",1,1,1100
Hindi,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",0,0,1100
Italian,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",2,2,1100
Japanese,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",3,3,1100
Korean,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",3,3,1100
Spanish,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",1,1,1100
Telugu,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",1,1,1100
Turkish,PERS_PRONOUN_AGREEMENT_SENT_START,Grammar,agreement,"verbal agreement (be)",0,0,1100
Arabic,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",139,116,1100
Chinese,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",187,160,1100
French,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",146,115,1100
German,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",48,44,1100
Hindi,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",107,84,1100
Italian,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",154,125,1100
Japanese,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",134,117,1100
Korean,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",163,136,1100
Spanish,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",221,176,1100
Telugu,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",98,84,1100
Turkish,BEEN_PART_AGREEMENT,Grammar,"verbal inflection","past participle",153,131,1100
Arabic,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",36,31,1100
Chinese,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",14,12,1100
French,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",48,41,1100
German,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",78,71,1100
Hindi,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",47,41,1100
Italian,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",59,54,1100
Japanese,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",6,6,1100
Korean,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",6,6,1100
Spanish,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",53,51,1100
Telugu,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",81,60,1100
Turkish,IN_A_X_MANNER,Style,"Redundant Phrases","Redundant Phrases",50,41,1100
Arabic,IN_THIS_MOMENT,Collocations,NULL,NULL,0,0,1100
Chinese,IN_THIS_MOMENT,Collocations,NULL,NULL,0,0,1100
French,IN_THIS_MOMENT,Collocations,NULL,NULL,2,1,1100
German,IN_THIS_MOMENT,Collocations,NULL,NULL,1,1,1100
Hindi,IN_THIS_MOMENT,Collocations,NULL,NULL,0,0,1100
Italian,IN_THIS_MOMENT,Collocations,NULL,NULL,5,5,1100
Japanese,IN_THIS_MOMENT,Collocations,NULL,NULL,2,2,1100
Korean,IN_THIS_MOMENT,Collocations,NULL,NULL,1,1,1100
Spanish,IN_THIS_MOMENT,Collocations,NULL,NULL,8,7,1100
Telugu,IN_THIS_MOMENT,Collocations,NULL,NULL,0,0,1100
Turkish,IN_THIS_MOMENT,Collocations,NULL,NULL,1,1,1100
Arabic,EN_COMPOUNDS,Miscellaneous,NULL,NULL,133,107,1100
Chinese,EN_COMPOUNDS,Miscellaneous,NULL,NULL,80,70,1100
French,EN_COMPOUNDS,Miscellaneous,NULL,NULL,189,167,1100
German,EN_COMPOUNDS,Miscellaneous,NULL,NULL,133,110,1100
Hindi,EN_COMPOUNDS,Miscellaneous,NULL,NULL,281,218,1100
Italian,EN_COMPOUNDS,Miscellaneous,NULL,NULL,128,111,1100
Japanese,EN_COMPOUNDS,Miscellaneous,NULL,NULL,78,63,1100
